1	0	3	9	13	0
2	0	7	9	11	0
3	0	2	8	13	0
4	0	1	9	15	0
5	0	7	8	19	0
6	0	4	9	13	0
7	0	1	8	9	0
8	0	1	8	9	0
9	0	5	9	10	0
10	0	1	9	16	0
11	0	6	8	9	0
12	0	2	9	6	0
13	0	1	9	11	0
14	0	3	9	12	0
15	0	7	8	15	0
16	0	9	6	18	0
17	0	7	7	10	0
18	0	5	8	4	0
19	0	3	8	8	0
20	0	9	7	18	0
21	0	6	6	14	0
22	0	2	9	10	0
23	0	8	9	15	0
24	0	9	3	12	0
25	1	9	1	10	9
26	1	9	7	15	9
27	1	7	8	17	7
28	1	9	5	19	9
29	1	8	4	16	8
30	1	9	8	14	9
31	1	8	6	14	8
32	1	8	4	16	8
33	1	6	3	12	6
34	1	8	4	16	8
35	1	9	6	18	9
36	1	9	6	9	9
37	1	6	5	10	6
38	1	9	6	19	9
39	1	9	4	19	9
40	1	8	7	13	8
41	1	5	5	10	5
42	1	9	1	17	9
43	1	8	3	11	8
44	1	9	9	17	9
